,192.168.60.1,192.168.60.2,192.168.60.3,192.168.60.6
192.168.10.5,nil,nil,nil,[1:2012758:5] ET INFO DYNAMIC_DNS Query to *.dyndns. Domain&[1:2012758:5] ET INFO DYNAMIC_DNS Query to *.dyndns. Domain&[1:2012758:5] ET INFO DYNAMIC_DNS Query to *.dyndns. Domain&[1:2012758:5] ET INFO DYNAMIC_DNS Query to *.dyndns. Domain&[1:2012758:5] ET INFO DYNAMIC_DNS Query to *.dyndns. Domain&[1:2012758:5] ET INFO DYNAMIC_DNS Query to *.dyndns. Domain&[1:2012758:5] ET INFO DYNAMIC_DNS Query to *.dyndns. Domain&[1:2012758:5] ET INFO DYNAMIC_DNS Query to *.dyndns. Domain&[1:2012758:5] ET INFO DYNAMIC_DNS Query to *.dyndns. Domain&[1:2012758:5] ET INFO DYNAMIC_DNS Query to *.dyndns. Domain&[1:2012758:5] ET INFO DYNAMIC_DNS Query to *.dyndns. Domain&[1:2012758:5] ET INFO DYNAMIC_DNS Query to *.dyndns. Domain&[1:2012758:5] ET INFO DYNAMIC_DNS Query to *.dyndns. Domain&[1:2012758:5] ET INFO DYNAMIC_DNS Query to *.dyndns. Domain&[1:2012758:5] ET INFO DYNAMIC_DNS Query to *.dyndns. Domain&[1:2012758:5] ET INFO DYNAMIC_DNS Query to *.dyndns. Domain&[1:2012758:5] ET INFO DYNAMIC_DNS Query to *.dyndns. Domain&[1:2012758:5] ET INFO DYNAMIC_DNS Query to *.dyndns. Domain&[1:2012758:5] ET INFO DYNAMIC_DNS Query to *.dyndns. Domain&[1:2012758:5] ET INFO DYNAMIC_DNS Query to *.dyndns. Domain&[1:2012758:5] ET INFO DYNAMIC_DNS Query to *.dyndns. Domain
192.168.10.6,nil,nil,nil,[1:2012758:5] ET INFO DYNAMIC_DNS Query to *.dyndns. Domain&[1:2012758:5] ET INFO DYNAMIC_DNS Query to *.dyndns. Domain&[1:2012758:5] ET INFO DYNAMIC_DNS Query to *.dyndns. Domain&[1:2012758:5] ET INFO DYNAMIC_DNS Query to *.dyndns. Domain
192.168.10.61,[1:2100366:8] GPL ICMP_INFO PING *NIX&[1:2100366:8] GPL ICMP_INFO PING *NIX&[1:2100366:8] GPL ICMP_INFO PING *NIX&[1:2100366:8] GPL ICMP_INFO PING *NIX&[1:2100366:8] GPL ICMP_INFO PING *NIX&[1:2100366:8] GPL ICMP_INFO PING *NIX&[1:2100366:8] GPL ICMP_INFO PING *NIX&[1:2100366:8] GPL ICMP_INFO PING *NIX&[1:2100366:8] GPL ICMP_INFO PING *NIX&[1:2100366:8] GPL ICMP_INFO PING *NIX&[1:2100366:8] GPL ICMP_INFO PING *NIX&[1:2100366:8] GPL ICMP_INFO PING *NIX&[1:2100366:8] GPL ICMP_INFO PING *NIX&[1:2100366:8] GPL ICMP_INFO PING *NIX&[1:2100366:8] GPL ICMP_INFO PING *NIX&[1:2100366:8] GPL ICMP_INFO PING *NIX&[1:2100366:8] GPL ICMP_INFO PING *NIX&[1:2100366:8] GPL ICMP_INFO PING *NIX&[1:2100366:8] GPL ICMP_INFO PING *NIX&[1:2100366:8] GPL ICMP_INFO PING *NIX&[1:2100366:8] GPL ICMP_INFO PING *NIX&[1:2100366:8] GPL ICMP_INFO PING *NIX&[1:2100366:8] GPL ICMP_INFO PING *NIX&[1:2100366:8] GPL ICMP_INFO PING *NIX&[1:2100366:8] GPL ICMP_INFO PING *NIX&[1:2100366:8] GPL ICMP_INFO PING *NIX&[1:2100366:8] GPL ICMP_INFO PING *NIX&[1:2100366:8] GPL ICMP_INFO PING *NIX&[1:2100366:8] GPL ICMP_INFO PING *NIX&[1:2100366:8] GPL ICMP_INFO PING *NIX&[1:2100366:8] GPL ICMP_INFO PING *NIX&[1:2100366:8] GPL ICMP_INFO PING *NIX&[1:2100366:8] GPL ICMP_INFO PING *NIX&[1:2100366:8] GPL ICMP_INFO PING *NIX&[1:2100366:8] GPL ICMP_INFO PING *NIX&[1:2100366:8] GPL ICMP_INFO PING *NIX&[1:2100366:8] GPL ICMP_INFO PING *NIX&[1:2100366:8] GPL ICMP_INFO PING *NIX&[1:2100366:8] GPL ICMP_INFO PING *NIX&[1:2100366:8] GPL ICMP_INFO PING *NIX&[1:2100366:8] GPL ICMP_INFO PING *NIX&[1:2100366:8] GPL ICMP_INFO PING *NIX&[1:2100366:8] GPL ICMP_INFO PING *NIX&[1:2100366:8] GPL ICMP_INFO PING *NIX&[1:2100366:8] GPL ICMP_INFO PING *NIX&[1:2100366:8] GPL ICMP_INFO PING *NIX&[1:2100366:8] GPL ICMP_INFO PING *NIX&[1:2100366:8] GPL ICMP_INFO PING *NIX&[1:2100366:8] GPL ICMP_INFO PING *NIX&[1:2100366:8] GPL ICMP_INFO PING *NIX&[1:2100366:8] GPL ICMP_INFO PING *NIX&[1:2100366:8] GPL ICMP_INFO PING *NIX&[1:2100366:8] GPL ICMP_INFO PING *NIX&[1:2100366:8] GPL ICMP_INFO PING *NIX&[1:2100366:8] GPL ICMP_INFO PING *NIX&[1:2100366:8] GPL ICMP_INFO PING *NIX&[1:2100366:8] GPL ICMP_INFO PING *NIX&[1:2100366:8] GPL ICMP_INFO PING *NIX&[1:2100366:8] GPL ICMP_INFO PING *NIX&[1:2100366:8] GPL ICMP_INFO PING *NIX&[1:2100366:8] GPL ICMP_INFO PING *NIX&[1:2100366:8] GPL ICMP_INFO PING *NIX&[1:2100366:8] GPL ICMP_INFO PING *NIX&[1:2100366:8] GPL ICMP_INFO PING *NIX&[1:2100366:8] GPL ICMP_INFO PING *NIX&[1:2100366:8] GPL ICMP_INFO PING *NIX&[1:2100366:8] GPL ICMP_INFO PING *NIX,nil,nil,nil
192.168.50.240,nil,nil,[1:2100366:8] GPL ICMP_INFO PING *NIX&[1:2100366:8] GPL ICMP_INFO PING *NIX&[1:2100366:8] GPL ICMP_INFO PING *NIX&[1:2100366:8] GPL ICMP_INFO PING *NIX&[1:2100366:8] GPL ICMP_INFO PING *NIX&[1:2100366:8] GPL ICMP_INFO PING *NIX&[1:2100366:8] GPL ICMP_INFO PING *NIX&[1:2100366:8] GPL ICMP_INFO PING *NIX,nil
192.168.110.2,nil,[1:2002823:11] ET POLICY POSSIBLE Web Crawl using Wget&[1:2002823:11] ET POLICY POSSIBLE Web Crawl using Wget,nil,nil
192.168.195.69,[1:2100366:8] GPL ICMP_INFO PING *NIX&[1:2100366:8] GPL ICMP_INFO PING *NIX&[1:2100366:8] GPL ICMP_INFO PING *NIX&[1:2100366:8] GPL ICMP_INFO PING *NIX&[1:2100366:8] GPL ICMP_INFO PING *NIX,[1:2002677:13] ET SCAN Nikto Web App Scan in Progress&[1:2100987:16] GPL EXPLOIT .htr access&[1:2100977:13] GPL EXPLOIT .cnf access&[1:2101201:10] GPL WEB_SERVER 403 Forbidden&[1:2101242:13] GPL EXPLOIT ISAPI .ida access&[1:2101201:10] GPL WEB_SERVER 403 Forbidden&[1:2101129:8] GPL WEB_SERVER .htaccess access&[1:2101201:10] GPL WEB_SERVER 403 Forbidden&[1:2101071:8] GPL WEB_SERVER .htpasswd access&[1:2101129:8] GPL WEB_SERVER .htaccess access&[1:2101201:10] GPL WEB_SERVER 403 Forbidden&[1:2101245:12] GPL EXPLOIT ISAPI .idq access,nil,nil
